lang,is_retweeted,retweet_count,screen_name,country,created_at,hashtags,tweet_text,source_device,reply_count,location,country_code,timestamp_ms,user_name,favorite_count
et,False,0,Puridunia,,2018-03-07T06:15:30,[u'NDA'],"मोदी सरकार को बड़ा झटका... 
Narendra Modi Rahul Gandhi Telugu Desam Party (TDP) #NDA https://t.co/kshzBegT0B",Facebook,0,"उत्तर प्रदेश, भारत",,1520403330367,Puri Dunia,0
en,False,0,shadabkhan2305,,2018-03-07T06:15:37,[u'BJP'],RT @JhaSanjay: When Narendra Modi is defeated in 2019 elections. And the #BJP sent into hibernation for decades thereafter. https://t.co/Pi…,Twitter for iPhone,0,"Lucknow, India",,1520403337417,Shadab,0
en,False,0,letsbrewlife,,2018-03-07T06:15:38,[],"RT @AdapaRamanaidu: @khushsundar Gary Oldman is still in shock that how he got oscar award instead of Modi who acted better than him...
Not…",Twitter for Android,0,"Coimbatore, India",,1520403338125,J J,0
en,False,0,TarsemlalDharn1,,2018-03-07T06:15:46,[],@BJYM @narendramodi @AmitShah @PiyushGoyal @Ramlal @poonam_mahajan @PMuralidharRao @PMOIndia @AmitShahOffice… https://t.co/l2ziUu4e45,Twitter for Android,0,"Punjab, India",,1520403346245,lall lall,0
in,False,0,HusainRon,,2018-03-07T06:15:23,[],@SirAbhisarlive Modi sarkar,Twitter for Android,0,bangaluru,,1520403323005,Altaf husain ron,0
en,False,0,kcsnegi,,2018-03-07T06:15:25,[],"RT @NaIna0806: Unlike Congress which used to succumb under pressure, @narendramodi Sarkar puts it’s foot down when Top German Minister want…",Twitter for Android,0,"Dwarka, New Delhi",,1520403325735,Krishna Negi,0
en,False,0,Shahab1956,,2018-03-07T06:15:33,[],"RT @jigneshmevani80: Modi ji tell your boys to destroy the statue of manu, not lenin or Periyar. Mind well, exploited dalits will always ch…",Twitter Web Client,0,"Bengaluru, India",,1520403333058,Shahabuddin Nadeem,0
en,False,0,voice_fearless,,2018-03-07T06:15:38,[],"@ms_dipika @PMOIndia @BJP4India @SureshChavhanke @vhpitcell @RSSorg @narendramodi 

Mr Modi..u could not enter in a… https://t.co/qumkpIjVlw",Twitter for Android,0,delhi,,1520403338367,fearless voice,0
en,False,0,SAMI_hadyh,,2018-03-07T06:15:38,[],@jhpratap @shotrite @apanankur So why did Modi dumped Jashodoben? Because she refused to be his slave?,Twitter for Android,0,"Chennai, Tamilnadu, India",,1520403338842,Sami,0
en,False,0,ARCHANA1968,,2018-03-07T06:15:43,[],RT @ndtv: A committee chosen by Modi government to rewrite India's history: Report https://t.co/VqCuw64WSb https://t.co/uh3YqL3BPC,Twitter for Android,0,,,1520403343620,ARCHANA SINGH,0
